1	하나
10	십
10	열
100	백
1000	천
10 days	열흘
1st birthday	돌잔치
2	둘
20	스물
20	이십
3	삼
3	셋
30	삼십
30	서른
3 days	사흘
4	넷
4	사
40	마흔
40	사십
5	오
5	다섯
50	쉰
50	오십
6	육
6	여섯
60	예순
60	육십
7	칠
7	일곱
70	일흔
70	칠십
8	팔
8	여덟
80	여든
80	팔십
9	구
9	아홉
90	구십
90	아흔
abandon, throw away	버리다
ability	능력
ability	실력
about, around ~	쯤
about, medicine	약
absence	결석
absolutely	무조건
abstinence, temperance	금주
abusive language	욕
academic field	학문
(academic) paper	논문
academy, school	학원
accent	억양
access, enter	출입
accessory	액세서리
accident	사고
accommodation	숙소
accommodation fee	숙박비
accurately	정확히
acne	여드름
across	건너
across, the other side, opposite	맞은편
action, behavior	행동
activities	활동
actor	배우
acupuncture medicine	한약
a custom/event to make Kimchi in winter	김장
adaptation	적응
adding	추가
address	주소
adjective	형용사
adjustment	조절
admiration	감탄
admission	입학
admission	입장
admission fee	입장료
admission ticket	입장권
adult	어른
adult	성인
adult diseases, lifestyle diseases	성인병
advantage	장점
advantages and disadvantages	장단점
adventurous mind	모험심
advert	부사
advertisement	광고
advice	충고
a few, a number of	몇
a few days ago	엊그제
a few days, what date	며칠
affection	정
Africa	아프리카
after	후
after all	결국
after all, any way	어차피
after a long time	오랜만
after a long time	오래간만
after a long time	오랜만에
after a meal	식후
afternoon	오후
after-party	뒤풀이
after-sales service	애프터서비스
afterward	이후
again	다시
age	년대
age (honorific form)	연세
agency	중개소
age, old	나이
agony, distress	괴로움
agreement	찬성
agriculture	농사
aids	에이즈
air	공기
air conditioner	에어컨
aircraft	항공기
airfare	항공료
airfield, airport	비행장
airlines	항공사
airplane	비행기
airport	공항
a job offer	구인
album	앨범
alcohol	알코올
alcohol, liquor	술
a little	좀
a little	조금
a little more	좀더
all, before	전
all day	종일
all, entire	온통
all, entire	전부
all~, entire	온
allergy	알레르기
all, everyone	모두
alley	골목
alley	골목길
all night, during the night	밤새
all the time	쭉
all, whole	다
all without exception	빠짐없이
almost, nearly	거의
almost, nearly	하마터면
alone	혼자
a long ago, olden days	옛날
a lot of, many	많이
already	벌써
already	이미
already, so soon	어느새
also	또한
alumni	동창
alumni association	동창회
always	늘
always	항상
always	내내
always, anytime	언제나
among them	그중
amount of money	금액
amount, sheep	양
an anxious feeling	불안감
ancestor	조상
ancestral rites, memorial service	제사
and	및
and	그리고
and then	그러자
and then	그러다가
a neighbor, the house next door	옆집
angel	천사
anger	화
angry	화나다
an ideal type of person	이상형
animal	동물
(animal) feed	먹이
~ animal(s), ~ head(s)	마리
ankle	발목
anniversary	기념일
anniversary/annual~	주년
announcement, notice	안내문
announcement, presentation	발표
announcer	아나운서
annual, every year	해마다
annual fee	연회비
annually, every year	매년
another, other	딴
answer	답
answer	대답
answer	답변
answer, reply	대답하다
antipyretic	해열제
an unmarried and old woman	노처녀
an unmarried, single person	미혼
an unmarried, single person	독신자
anxiety	불안
anxiety, concern	걱정
any	아무
anyhow, whatever	아무래도
any sort of, in any way	아무런
anyway	아무튼
anyway	어쨌든
any, what	아무것
apartment, mansion	아파트
appear	나타나다
appearance	모습
appearance	외모
appearance	겉모습
appearance	생김새
appetite	식욕
appetite	입맛
appetite, the taste of rice	밥맛
apple	사과
applicant	신청자
applicant	희망자
application	원서
application forms	신청서
appointment, promise	약속
appreciation	감상
appreciation gift, gift	사은품
appropriately	적당히
April	사월
aptitude (for)	적성
Arabic	아랍어
architect	건축가
architecture	건축
archive, reference room	자료실
area	영역
area	지역
Arirang (Korean traditional song)	아리랑
army	군대
around	주변
around	주위
around (the time)	무렵
arrival	도착
arrive	도착하다
art	미술
art	예술
art gallery, art museum	미술관
article, driver, engineer	기사
artist, painter	화가
as expected	과연
as expected, after all	역시
Asia	아시아
as if, just like	마치
as it is	그대로
ask	묻다
ask	물어보다
ask a question	질문하다
as much as one wants	실컷
as much as one wants	마음껏
as much as possible	되도록
as one wishes	마음대로
assertion, captain	주장
assistant	조교
as soon as possible, immediately, quickly	하루빨리
a stingy person	구두쇠
at a glance	한눈
athlete	운동선수
at its peak, in bloom	한창
at least	적어도
ATM	인출기
atmosphere	분위기
at once, together	한꺼번에
attach, stick	붙이다
attempt, trial	시도
attendance	출석
attendance, participation	참석
attention, interest	관심
at this time	이때
attitude	태도
attraction	매력
audience	관객
audience	관람객
audience	방청객
audience, viewer	시청자
August	팔월
aunt	큰어머니
aunt	작은어머니
Australia	호주
author	글쓴이
automatic	자동
autumn, fall	가을
autumn leaves, maple	단풍
avalanche	눈사태
a value (won coin)	짜리
average	평균
a very hot night	열대야
a visit to a sick person	문병
a visit to a sick person	병문안
a word	한마디
azalea	진달래
baby	애기
baby, toddler	아기
back gate	뒷문
back gate	후문
background	배경
background, foundation	바탕
backpack	배낭
backpack trip	배낭여행
back seat	뒷자리
bad	나쁘다
bag	가방
bag	봉지
bake	굽다
baked bread with red beans inside (street food)	붕어빵
bakery	빵집
balance	잔액
ball	공
ballet	발레
balloon	풍선
ballpoint pen	볼펜
bamboo, porridge	죽
ban	금지
banana	바나나
bank	은행
bank account	계좌
bank book, (deposit) passbook	통장
bank clerk	은행원
(bank) deposit	예금
bar	술집
barber	미용사
barefoot	맨발
bare hands	맨손
barely, finally	겨우
barrel, ~ package(s)	통
baseball	야구
basic	기본
basic, fundamental	기초
basket	바구니
basketball	농구
bath, bathing	목욕
bathroom	욕실
batteries	건전지
battery	배터리
beach	바닷가
beach	해수욕장
bean, soy	콩
bean sprouts	콩나물
bear	곰
beast	짐승
beautiful	곱다
beautiful	아름답다
beautiful woman	미인
beauty salon	미용실
be blocked, be clogged	막히다
be born	태어나다
be careful, warn	조심하다
because	왜냐하면
because, for ~, so~	때문
be changed	바뀌다
become	되다
be considered, it seems~	생각되다
bed	침대
bedroom	침실
beef	소고기
beef	쇠고기
beer	맥주
be excused	실례하다
be, exist (honorific form)	계시다
be few, write down	적다
before	이전
before and after	앞뒤
be full (I am full.)	배부르다
beg, ask	부탁하다
begin	시작되다
beginner	초보자
beginner-level	초급
beginning, start	초기
be good, friendly	착하다
be healthy	건강하다
behind, back, towards the rear	뒤쪽
behind story	뒷이야기
Beijing	베이징
be impressed	감동하다
being active	활동적
being as a result	결과적
being attractive	매력적
being a younger, younger person	연하
being carnivorous	육식
being characteristic	개성적
being commercial	상업적
being comparative	비교적
being cultural	문화적
being daily	일상적
being direct	직접적
being discharged from hospital	퇴원
being eco-friendly	친환경
being economic	경제적
being effective	효과적
being efficient	효율적
being enthusiastic, being active	적극적
being exotic, being foreign	이국적
being family-oriented	가족적
being famous	유명
being fantastic	환상적
being fundamental, being basic	기본적
being global, being worldwide	세계적
being historical	역사적
being human	인간적
being impressive	인상적
being in charge	담당
being indirect	간접적
being long term	장기적
being medical	의학적
being mental	정신적
being modern	현대적
being national	전국적
being natural	자연적
being natural, being automatic	저절로
being negative	부정적
being normal	정상적
being not enough, lacking	부족
being objective	객관적
being open	개방적
being ordinary	일반적
being overall	전체적
being paid, being charged	유료
being passive	소극적
being personal	개인적
being planned, as planned	계획적
being positive, being affirmative	긍정적
being practical	실용적
being professional	전문적
being provocative, being stimulating	자극적
being realistic	현실적
being regular	규칙적
being regularly	정기적
being representative, being typical	대표적
being scientific	과학적
being selfish	이기적
being shy	내성적
being sociable	사교적
being social	사회적
being special	특별
being specific	구체적
being the same	동일하다
being the same, in the same manner	마찬가지
being traditional	전통적
be kind	친절하다
bell	벨
belly button	배꼽
belongings	준비물
belongings when moving house	이삿짐
belt	벨트
belt, waistband	허리띠
be nervous	긴장되다
be okay	괜찮다
be opened	열리다
be shaved, be pushed	밀리다
besides, differently	달리
besides, in addition	게다가
best	최선
best, the highest	최고
be surprised	놀라다
bet, call	걸다
between, while	사이
beverages, drink	음료
be written, be used	쓰이다
